,Method,m,n,p,Coverage,MCS Size,FPR,Failures
0,Sample Cov,10,20,0.05,0.97782,8.40788,0.8255622222228849,0
1,Sample Cov,10,20,0.1,0.97793,8.39447,0.8240600000006613,0
2,Sample Cov,10,20,0.2,0.93912,8.48971,0.819245,0
3,Sample Cov,10,200,0.05,0.99712,5.29919,0.478007777777731,0
4,Sample Cov,10,200,0.1,0.99696,5.30958,0.47917999999994737,0
5,Sample Cov,10,200,0.2,0.98035,5.86915,0.4861525,0
6,Sample Cov,10,2000,0.05,0.99982,1.85391,0.09489888888899985,0
7,Sample Cov,10,2000,0.1,0.99986,1.85485,0.09499888888899934,0
8,Sample Cov,10,2000,0.2,0.95907,2.73011,0.09638,0
9,Sample Cov,50,20,0.05,1.0,48.5984,0.970178723404197,0
10,Sample Cov,50,20,0.1,1.0,48.61187,0.9691526666669988,0
11,Sample Cov,50,20,0.2,0.999979999799998,48.60461604616046,0.9651171511716524,1
12,Sample Cov,50,200,0.05,0.97077,6.6637,0.07869191489364302,0
13,Sample Cov,50,200,0.1,0.95185,8.46356,0.0783486666666309,0
14,Sample Cov,50,200,0.2,0.90989,13.29846,0.08546500000002638,0
15,Sample Cov,50,2000,0.05,0.95443,3.7124,0.016371489361694108,0
16,Sample Cov,50,2000,0.1,0.94873,5.73616,0.017893777777757705,0
17,Sample Cov,50,2000,0.2,0.93837,10.80359,0.022215250000027394,0
18,Sample Cov,250,20,0.05,1.0,248.93939,0.9955248523210853,0
19,Sample Cov,250,20,0.1,1.0,248.93969,0.9952875111110051,0
20,Sample Cov,250,20,0.2,1.0,248.94335,0.9947167500000157,0
21,Sample Cov,250,200,0.05,1.0,248.23570649945495,0.9925557236268102,7
22,Sample Cov,250,200,0.1,1.0,248.21243274596475,0.992055256648626,6
23,Sample Cov,250,200,0.2,1.0,248.2343904707612,0.9911719523538892,13
24,Sample Cov,250,2000,0.05,0.93604,13.84875,0.003957046413507606,0
25,Sample Cov,250,2000,0.1,0.92716,25.95584,0.004705600000000015,0
26,Sample Cov,250,2000,0.2,0.91092,51.0655,0.006026099999995615,0
27,2004a,10,20,0.05,0.99918,9.8493,0.9833466666668021,0
28,2004a,10,20,0.1,0.99931,9.85388,0.9838411111112443,0
29,2004a,10,20,0.2,0.99738,9.86746,0.9837675,0
30,2004a,10,200,0.05,0.9978,5.56206,0.5071399999999637,0
31,2004a,10,200,0.1,0.99811,5.56525,0.5074599999999552,0
32,2004a,10,200,0.2,0.98544,6.11942,0.5167825,0
33,2004a,10,2000,0.05,0.99982,1.86576,0.09621555555566813,0
34,2004a,10,2000,0.1,0.99987,1.86299,0.09590222222233453,0
35,2004a,10,2000,0.2,0.96018,2.74036,0.09752375,0
36,2004a,50,20,0.05,0.9937,18.51554,0.3302591489360934,0
37,2004a,50,20,0.1,0.98572,19.60196,0.3248317777777457,0
38,2004a,50,20,0.2,0.94688,23.26865,0.33331024999999687,0
39,2004a,50,200,0.05,0.97898,6.90266,0.08355531914896835,0
40,2004a,50,200,0.1,0.96585,8.72152,0.08364199999997039,0
41,2004a,50,200,0.2,0.93981,13.60992,0.09214925000004234,0
42,2004a,50,2000,0.05,0.9556,3.72203,0.016518510638289796,0
43,2004a,50,2000,0.1,0.95032,5.74625,0.018058666666646305,0
44,2004a,50,2000,0.2,0.94206,10.82425,0.022570250000028158,0
45,2004a,250,20,0.05,0.91656,25.74616,0.05423270042193753,0
46,2004a,250,20,0.1,0.77164,36.27637,0.051933199999976844,0
47,2004a,250,20,0.2,0.52977,58.75701,0.05244020000000451,0
48,2004a,250,200,0.05,0.92486,16.57808,0.015511898734186182,0
49,2004a,250,200,0.1,0.86335,28.44742,0.016201644444435084,0
50,2004a,250,200,0.2,0.65008,52.51917,0.016216850000008286,0
51,2004a,250,2000,0.05,0.93906,13.85975,0.0039798734177270605,0
52,2004a,250,2000,0.1,0.92997,25.9764,0.004770844444444444,0
53,2004a,250,2000,0.2,0.91809,51.10019,0.006129999999995525,0
54,2004b,10,20,0.05,0.99933,9.87172,0.9858211111112298,0
55,2004b,10,20,0.1,0.99929,9.86989,0.9856222222223395,0
56,2004b,10,20,0.2,0.99805,9.88529,0.98591375,0
57,2004b,10,200,0.05,0.99803,5.5734,0.5083744444443956,0
58,2004b,10,200,0.1,0.99808,5.58208,0.5093333333332816,0
59,2004b,10,200,0.2,0.98741,6.13556,0.5185525,0
60,2004b,10,2000,0.05,0.99984,1.86387,0.09600333333344595,0
61,2004b,10,2000,0.1,0.99989,1.86811,0.09646888888900204,0
62,2004b,10,2000,0.2,0.95854,2.73925,0.09758875,0
63,2004b,50,20,0.05,0.99509,18.84428,0.33722191489354875,0
64,2004b,50,20,0.1,0.98746,19.86512,0.3306395555555366,0
65,2004b,50,20,0.2,0.95303,23.53621,0.3397929999999981,0
66,2004b,50,200,0.05,0.98013,6.92344,0.08397468085109629,0
67,2004b,50,200,0.1,0.96687,8.7387,0.08399999999997192,0
68,2004b,50,200,0.2,0.94033,13.62044,0.09240775000004461,0
69,2004b,50,2000,0.05,0.95533,3.72019,0.016507021276587673,0
70,2004b,50,2000,0.1,0.95001,5.74709,0.018100888888868284,0
71,2004b,50,2000,0.2,0.94138,10.82154,0.02249475000002803,0
72,2004b,250,20,0.05,0.9239,26.03445,0.055402025316450665,0
73,2004b,250,20,0.1,0.78954,36.59736,0.05318835555553216,0
74,2004b,250,20,0.2,0.55389,59.14897,0.053836050000003195,0
75,2004b,250,200,0.05,0.92683,16.59751,0.015578649789038754,0
76,2004b,250,200,0.1,0.86743,28.48031,0.016309199999990663,0
77,2004b,250,200,0.2,0.65889,52.57446,0.01636425000000868,0
78,2004b,250,2000,0.05,0.94005,13.86587,0.003999240506334684,0
79,2004b,250,2000,0.1,0.92938,25.9736,0.004767288888888889,0
80,2004b,250,2000,0.2,0.91705,51.09827,0.006127849999995529,0
81,2020,10,20,0.05,0.99927,9.8914,0.9880144444445287,0
82,2020,10,20,0.1,0.99929,9.88965,0.9878177777778672,0
83,2020,10,20,0.2,0.99796,9.90567,0.988475,0
84,2020,10,200,0.05,0.99707,5.41068,0.49040111111106416,0
85,2020,10,200,0.1,0.9971,5.42869,0.4923988888888396,0
86,2020,10,200,0.2,0.98236,5.99086,0.50111,0
87,2020,10,2000,0.05,0.99979,1.85334,0.09483888888899943,0
88,2020,10,2000,0.1,0.99984,1.8545,0.09496222222233279,0
