,Method,m,n,p,Coverage,MCS Size,FPR,Failures
76,2004b,250,200,0.1,0.79271,32.98311,0.03678697777775981,0
77,2004b,250,200,0.2,0.50558,56.13894,0.03585290000001246,0
78,2004b,250,2000,0.05,0.92746,15.70011,0.01179430379746545,0
79,2004b,250,2000,0.1,0.90538,27.7818,0.012934311111101703,0
80,2004b,250,2000,0.2,0.87673,52.82525,0.01504615000000657,0
81,2020,10,20,0.05,0.996,9.92461,0.9920677777778187,0
82,2020,10,20,0.1,0.99616,9.92565,0.9921655555555983,0
83,2020,10,20,0.2,0.99235,9.93093,0.99237625,0
84,2020,10,200,0.05,0.99369,8.85838,0.8738544444449262,0
85,2020,10,200,0.1,0.99384,8.85624,0.8736000000004706,0
86,2020,10,200,0.2,0.98122,8.98672,0.8757725,0
87,2020,10,2000,0.05,0.99712,3.92939,0.3258077777777336,0
88,2020,10,2000,0.1,0.99733,3.93973,0.3269333333332852,0
89,2020,10,2000,0.2,0.9745,4.49743,0.31541,0
90,2020,50,20,0.05,0.99586,38.52946,0.7560346808509606,0
91,2020,50,20,0.1,0.99112,38.93005,0.7542008888893738,0
92,2020,50,20,0.2,0.9685,40.67612,0.7677304999999941,0
93,2020,50,200,0.05,0.98361,13.0745,0.2147472340425303,0
94,2020,50,200,0.1,0.96936,14.49795,0.21186888888896527,0
95,2020,50,200,0.2,0.9359,18.89372,0.2243030000000024,0
96,2020,50,2000,0.05,0.96831,5.70198,0.05832000000002878,0
97,2020,50,2000,0.1,0.95516,7.57635,0.05856488888885987,0
98,2020,50,2000,0.2,0.93195,12.50336,0.06485699999999327,0
99,2020,250,20,0.05,0.97354,46.20977,0.1402412658227296,0
100,2020,250,20,0.1,0.90694,55.01207,0.13385466666665308,0
101,2020,250,20,0.2,0.73243,76.79381,0.135781850000012,0
102,2020,250,200,0.05,0.93988,25.59638,0.0534577637130782,0
103,2020,250,200,0.1,0.92807,37.57754,0.0562888888888662,0
104,2020,250,200,0.2,0.96301,63.64901,0.06845950000003201,0
105,2020,250,2000,0.05,0.93034,15.73212,0.011917552742613201,0
106,2020,250,2000,0.1,0.91584,27.88576,0.013325155555546241,0
107,2020,250,2000,0.2,0.91375,53.14112,0.016311650000007744,0
