,Method,m,n,p,Coverage,MCS Size,FPR,Failures
77,2004b,250,200,0.2,0.74402,58.42283,0.04412305000001049,0
78,2004b,250,2000,0.05,0.93515,15.82257,0.012259493670883841,0
79,2004b,250,2000,0.1,0.91726,27.96697,0.013664266666657475,0
80,2004b,250,2000,0.2,0.89304,53.14686,0.016503050000008252,0
81,2020,10,20,0.05,0.99817,9.94617,0.9942222222222766,0
82,2020,10,20,0.1,0.99837,9.94552,0.994127777777833,0
83,2020,10,20,0.2,0.99621,9.94738,0.99391,0
84,2020,10,200,0.05,0.9985,9.38928,0.9323088888893557,0
85,2020,10,200,0.1,0.99832,9.39022,0.9324333333338065,0
86,2020,10,200,0.2,0.99445,9.48315,0.9361075,0
87,2020,10,2000,0.05,0.99792,4.32399,0.3695633333333059,0
88,2020,10,2000,0.1,0.99795,4.32925,0.37014444444441535,0
89,2020,10,2000,0.2,0.97864,4.98163,0.3753975,0
90,2020,50,20,0.05,0.99996,41.58809,0.8210240425531822,0
91,2020,50,20,0.1,0.99977,42.04992,0.8233366666676719,0
92,2020,50,20,0.2,0.99853,43.62719,0.8407179999999952,0
93,2020,50,200,0.05,0.99211,14.04746,0.23523723404249966,0
94,2020,50,200,0.1,0.98321,15.45531,0.23276466666670473,0
95,2020,50,200,0.2,0.96437,19.94505,0.2496547500000043,0
96,2020,50,2000,0.05,0.97136,5.84388,0.0612427659574723,0
97,2020,50,2000,0.1,0.95996,7.74874,0.06221577777774661,0
98,2020,50,2000,0.2,0.94171,12.76865,0.07109574999999818,0
99,2020,250,20,0.05,0.9981,48.59001,0.15017717299574307,0
100,2020,250,20,0.1,0.98671,57.50932,0.14455173333332608,0
101,2020,250,20,0.2,0.93723,79.67772,0.14878830000002505,0
102,2020,250,200,0.05,0.95837,25.73612,0.053948565400843064,0
103,2020,250,200,0.1,0.9492,37.84058,0.05733884444442102,0
104,2020,250,200,0.2,0.97511,63.94954,0.06988965000001673,0
105,2020,250,2000,0.05,0.93499,15.8152,0.012231434599153752,0
106,2020,250,2000,0.1,0.92326,28.00064,0.013790533333324109,0
107,2020,250,2000,0.2,0.92073,53.31886,0.01715565000000854,0
