,Method,m,n,p,Coverage,MCS Size,FPR,Failures
77,2004b,250,200,0.2,0.59173,57.46833,0.041230950000010896,0
78,2004b,250,2000,0.05,0.92369,15.7152,0.011897257383963265,0
79,2004b,250,2000,0.1,0.90179,27.85494,0.013299911111101556,0
80,2004b,250,2000,0.2,0.87506,53.02893,0.016113350000007652,0
81,2020,10,20,0.05,0.99597,9.91142,0.9906055555556011,0
82,2020,10,20,0.1,0.99591,9.91132,0.9906011111111562,0
83,2020,10,20,0.2,0.9911,9.91205,0.99025375,0
84,2020,10,200,0.05,0.99596,9.26873,0.9191966666670927,0
85,2020,10,200,0.1,0.9959,9.26799,0.9191211111115376,0
86,2020,10,200,0.2,0.98803,9.38359,0.924535,0
87,2020,10,2000,0.05,0.99758,4.26363,0.36289444444441027,0
88,2020,10,2000,0.1,0.99726,4.26293,0.3628522222221911,0
89,2020,10,2000,0.2,0.97687,4.92582,0.36864875,0
90,2020,50,20,0.05,0.9891,38.29616,0.7512163829786317,0
91,2020,50,20,0.1,0.97572,38.84065,0.7525675555561011,0
92,2020,50,20,0.2,0.93438,41.12366,0.7798657499999937,0
93,2020,50,200,0.05,0.9779,13.23645,0.2183474468084823,0
94,2020,50,200,0.1,0.96147,14.71598,0.21698200000006018,0
95,2020,50,200,0.2,0.92688,19.34495,0.23598025000000114,0
96,2020,50,2000,0.05,0.96694,5.77055,0.059808297872368646,0
97,2020,50,2000,0.1,0.95338,7.67884,0.06092288888885814,0
98,2020,50,2000,0.2,0.93323,12.70576,0.06990049999999631,0
99,2020,250,20,0.05,0.87919,43.12923,0.1276991561180954,0
100,2020,250,20,0.1,0.71636,52.54911,0.12408653333331715,0
101,2020,250,20,0.2,0.46584,75.64211,0.1327169500000096,0
102,2020,250,200,0.05,0.91213,25.04984,0.05132459915611837,0
103,2020,250,200,0.1,0.89552,37.42052,0.055779066666644714,0
104,2020,250,200,0.2,0.93669,63.88882,0.06980610000002375,0
105,2020,250,2000,0.05,0.92726,15.75391,0.012029113924047995,0
106,2020,250,2000,0.1,0.91414,27.9579,0.013664444444435484,0
107,2020,250,2000,0.2,0.91105,53.29631,0.017115500000008527,0
