,Method,m,n,p,Coverage,MCS Size,FPR,Failures
0,Sample Cov,10,20,0.05,0.97339,8.9464,0.8858900000005814,0
1,Sample Cov,10,20,0.1,0.97406,8.95778,0.8870800000005791,0
2,Sample Cov,10,20,0.2,0.93685,8.98755,0.88236125,0
3,Sample Cov,10,200,0.05,0.99844,8.63643,0.8486655555560345,0
4,Sample Cov,10,200,0.1,0.99826,8.64583,0.8497300000004829,0
5,Sample Cov,10,200,0.2,0.99137,9.00457,0.87672,0
6,Sample Cov,10,2000,0.05,0.99969,2.34941,0.14996888888906024,0
7,Sample Cov,10,2000,0.1,0.9996,2.34282,0.1492466666668366,0
8,Sample Cov,10,2000,0.2,0.96602,3.54135,0.19691875,0
9,Sample Cov,50,20,0.05,1.0,48.87158743174864,0.9759912219520867,2
10,Sample Cov,50,20,0.1,0.999989999899999,48.8729487294873,0.9749546384355612,1
11,Sample Cov,50,20,0.2,0.999989999899999,48.878938789387895,0.9719737197373567,1
12,Sample Cov,50,200,0.05,0.97619,7.82582,0.10328617021281607,0
13,Sample Cov,50,200,0.1,0.96354,9.89714,0.10988066666666464,0
14,Sample Cov,50,200,0.2,0.93541,15.39655,0.13710449999997845,0
15,Sample Cov,50,2000,0.05,0.95627,3.91194,0.02055510638296883,0
16,Sample Cov,50,2000,0.1,0.95276,6.05,0.024765333333323192,0
17,Sample Cov,50,2000,0.2,0.94606,11.40337,0.036969000000051544,0
18,Sample Cov,250,20,0.05,1.0,248.98088,0.9956999156122223,0
19,Sample Cov,250,20,0.1,1.0,248.98975,0.9955099999998697,0
20,Sample Cov,250,20,0.2,1.0,248.98882,0.9949441000000003,0
21,Sample Cov,250,200,0.05,1.0,248.26610708711834,0.9926839961486001,44
22,Sample Cov,250,200,0.1,1.0,248.26768257907008,0.9923008114624661,57
23,Sample Cov,250,200,0.2,1.0,248.26388986162667,0.9913194493082078,53
24,Sample Cov,250,2000,0.05,0.93902,14.02242,0.004663670886082597,0
25,Sample Cov,250,2000,0.1,0.93072,26.28739,0.006168044444440216,0
26,Sample Cov,250,2000,0.2,0.91688,51.68539,0.009100649999993006,0
