,Method,m,n,p,Coverage,MCS Size,FPR,Failures
27,2004a,10,20,0.05,0.99865,9.84321,0.9827288888890385,0
28,2004a,10,20,0.1,0.99855,9.84177,0.9825800000001502,0
29,2004a,10,20,0.2,0.99692,9.85244,0.98201625,0
30,2004a,10,200,0.05,0.99904,8.80013,0.8667877777782669,0
31,2004a,10,200,0.1,0.9988,8.78101,0.86469000000049,0
32,2004a,10,200,0.2,0.9943,9.11524,0.890155,0
33,2004a,10,2000,0.05,0.99962,2.35321,0.15039888888906133,0
34,2004a,10,2000,0.1,0.99968,2.34997,0.15003222222239374,0
35,2004a,10,2000,0.2,0.96734,3.54961,0.19778875,0
36,2004a,50,20,0.05,0.99711,24.8274,0.464478085106419,0
37,2004a,50,20,0.1,0.99117,25.96762,0.4661637777779203,0
38,2004a,50,20,0.2,0.95234,29.58982,0.4911920000000046,0
39,2004a,50,200,0.05,0.98294,8.06886,0.10826829787239163,0
40,2004a,50,200,0.1,0.9734,10.13664,0.11490022222221602,0
41,2004a,50,200,0.2,0.9521,15.66376,0.1431362499999701,0
42,2004a,50,2000,0.05,0.9583,3.91973,0.02066829787233105,0
43,2004a,50,2000,0.1,0.95275,6.05978,0.02497155555554528,0
44,2004a,50,2000,0.2,0.94631,11.40472,0.03704025000005155,0
45,2004a,250,20,0.05,0.90747,26.55964,0.05771531645568747,0
46,2004a,250,20,0.1,0.69327,36.70706,0.05464346666664314,0
47,2004a,250,20,0.2,0.28954,56.89208,0.051527500000004736,0
48,2004a,250,200,0.05,0.92836,17.07454,0.01758679324895919,0
49,2004a,250,200,0.1,0.86729,29.21538,0.01959964444443159,0
50,2004a,250,200,0.2,0.62107,53.43241,0.02136535000001312,0
51,2004a,250,2000,0.05,0.93859,14.02591,0.0046875527426226945,0
52,2004a,250,2000,0.1,0.93402,26.30494,0.00621168888888449,0
53,2004a,250,2000,0.2,0.92185,51.71541,0.009186299999992936,0
54,2004b,10,20,0.05,0.99905,9.8702,0.9856833333334614,0
55,2004b,10,20,0.1,0.99901,9.87166,0.9858500000001252,0
56,2004b,10,20,0.2,0.99731,9.87783,0.98511125,0
57,2004b,10,200,0.05,0.99894,8.80692,0.8675533333338222,0
58,2004b,10,200,0.1,0.99913,8.80858,0.867716666667148,0
59,2004b,10,200,0.2,0.99459,9.12742,0.89164125,0
60,2004b,10,2000,0.05,0.99965,2.35458,0.15054777777795,0
61,2004b,10,2000,0.1,0.99974,2.35649,0.1507500000001727,0
62,2004b,10,2000,0.2,0.96849,3.55633,0.19848125,0
63,2004b,50,20,0.05,0.99794,25.44296,0.4775561702127891,0
64,2004b,50,20,0.1,0.99327,26.51326,0.4782371111112321,0
65,2004b,50,20,0.2,0.95971,30.2188,0.5066917500000019,0
66,2004b,50,200,0.05,0.98459,8.09468,0.10878765957451815,0
67,2004b,50,200,0.1,0.97332,10.15305,0.11525866666666101,0
68,2004b,50,200,0.2,0.95403,15.6889,0.14371849999997063,0
69,2004b,50,2000,0.05,0.9582,3.92424,0.02076744680850197,0
70,2004b,50,2000,0.1,0.95326,6.05795,0.02491644444443436,0
71,2004b,50,2000,0.2,0.94771,11.41196,0.03712350000005158,0
72,2004b,250,20,0.05,0.91608,26.87436,0.05899839662446345,0
73,2004b,250,20,0.1,0.71602,37.0968,0.056129199999975635,0
74,2004b,250,20,0.2,0.31457,57.47151,0.05315240000000338,0
75,2004b,250,200,0.05,0.93178,17.09981,0.017672278481026694,0
76,2004b,250,200,0.1,0.86846,29.23686,0.01968955555554243,0
77,2004b,250,200,0.2,0.62372,53.47323,0.021501600000013103,0
78,2004b,250,2000,0.05,0.94168,14.03004,0.004690253164563666,0
79,2004b,250,2000,0.1,0.93487,26.30457,0.006210355555551156,0
80,2004b,250,2000,0.2,0.92088,51.70887,0.009168199999992955,0
81,2020,10,20,0.05,0.99943,9.94415,0.9938577777778289,0
82,2020,10,20,0.1,0.99944,9.94561,0.9940188888889393,0
83,2020,10,20,0.2,0.99859,9.94671,0.9935425,0
84,2020,10,200,0.05,0.99882,8.83036,0.8701711111115934,0
85,2020,10,200,0.1,0.99872,8.83545,0.8707477777782487,0
86,2020,10,200,0.2,0.99392,9.15422,0.89508375,0
87,2020,10,2000,0.05,0.99965,2.34986,0.150023333333504,0
88,2020,10,2000,0.1,0.99963,2.34798,0.14981666666683707,0
89,2020,10,2000,0.2,0.96622,3.54564,0.19743125,0
90,2020,50,20,0.05,1.0,38.33248,0.7517548936169266,0
91,2020,50,20,0.1,0.99998,39.09572,0.7576831111115983,0
92,2020,50,20,0.2,0.9999,41.90247,0.7975642499999999,0
93,2020,50,200,0.05,0.98179,8.02275,0.10734382978728385,0
94,2020,50,200,0.1,0.9748,10.1127,0.11435044444443845,0
95,2020,50,200,0.2,0.96487,15.78441,0.14582974999996576,0
96,2020,50,2000,0.05,0.95738,3.90377,0.02035170212764929,0
97,2020,50,2000,0.1,0.95297,6.0435,0.024640222222211527,0
98,2020,50,2000,0.2,0.94742,11.39265,0.03669575000005142,0
99,2020,250,20,0.05,0.99615,32.06176,0.08044607594938488,0
100,2020,250,20,0.1,0.98078,42.99973,0.08009071111108075,0
101,2020,250,20,0.2,0.92585,68.16048,0.09124484999997903,0
102,2020,250,200,0.05,0.95101,20.49895,0.03190801687763654,0
103,2020,250,200,0.1,0.95418,32.96318,0.03564897777776607,0
104,2020,250,200,0.2,0.97961,59.19273,0.04608209999999136,0
105,2020,250,2000,0.05,0.94054,14.00707,0.004592784810133101,0
106,2020,250,2000,0.1,0.93944,26.28961,0.006111866666662373,0
107,2020,250,2000,0.2,0.93728,51.74116,0.009174499999992952,0
